,participant_correspondence,k_cluster_correspondence,total_correspondence
1,"{'k-cluster': 0, 'distance': 6, 'percentage match': 0.90625}","{'# Participants': 16, 'Mean Matching': 0.4365234375}",0.49376153962742503
2,"{'k-cluster': 2, 'distance': 33, 'percentage match': 0.484375}","{'# Participants': 15, 'Mean Matching': 0.45729166666666665}",0.49376153962742503
3,"{'k-cluster': 0, 'distance': 35, 'percentage match': 0.453125}","{'# Participants': 35, 'Mean Matching': 0.4959821428571428}",0.49376153962742503
4,"{'k-cluster': 1, 'distance': 31, 'percentage match': 0.515625}","{'# Participants': 15, 'Mean Matching': 0.453125}",0.49376153962742503
5,"{'k-cluster': 0, 'distance': 21, 'percentage match': 0.671875}","{'# Participants': 4, 'Mean Matching': 0.50390625}",0.49376153962742503
6,"{'k-cluster': 3, 'distance': 19, 'percentage match': 0.703125}",,0.49376153962742503
7,"{'k-cluster': 3, 'distance': 49, 'percentage match': 0.234375}",,0.49376153962742503
8,"{'k-cluster': 3, 'distance': 31, 'percentage match': 0.515625}",,0.49376153962742503
9,"{'k-cluster': 1, 'distance': 50, 'percentage match': 0.21875}",,0.49376153962742503
10,"{'k-cluster': 0, 'distance': 33, 'percentage match': 0.484375}",,0.49376153962742503
11,"{'k-cluster': 1, 'distance': 41, 'percentage match': 0.359375}",,0.49376153962742503
12,"{'k-cluster': 0, 'distance': 33, 'percentage match': 0.484375}",,0.49376153962742503
13,"{'k-cluster': 0, 'distance': 13, 'percentage match': 0.796875}",,0.49376153962742503
14,"{'k-cluster': 2, 'distance': 40, 'percentage match': 0.375}",,0.49376153962742503
15,"{'k-cluster': 2, 'distance': 49, 'percentage match': 0.234375}",,0.49376153962742503
16,"{'k-cluster': 2, 'distance': 15, 'percentage match': 0.765625}",,0.49376153962742503
17,"{'k-cluster': 0, 'distance': 20, 'percentage match': 0.6875}",,0.49376153962742503
18,"{'k-cluster': 3, 'distance': 23, 'percentage match': 0.640625}",,0.49376153962742503
19,"{'k-cluster': 4, 'distance': 33, 'percentage match': 0.484375}",,0.49376153962742503
20,"{'k-cluster': 1, 'distance': 36, 'percentage match': 0.4375}",,0.49376153962742503
21,"{'k-cluster': 0, 'distance': 15, 'percentage match': 0.765625}",,0.49376153962742503
22,"{'k-cluster': 2, 'distance': 46, 'percentage match': 0.28125}",,0.49376153962742503
23,"{'k-cluster': 3, 'distance': 34, 'percentage match': 0.46875}",,0.49376153962742503
24,"{'k-cluster': 0, 'distance': 33, 'percentage match': 0.484375}",,0.49376153962742503
25,"{'k-cluster': 1, 'distance': 31, 'percentage match': 0.515625}",,0.49376153962742503
26,"{'k-cluster': 0, 'distance': 18, 'percentage match': 0.71875}",,0.49376153962742503
27,"{'k-cluster': 0, 'distance': 30, 'percentage match': 0.53125}",,0.49376153962742503
28,"{'k-cluster': 3, 'distance': 50, 'percentage match': 0.21875}",,0.49376153962742503
29,"{'k-cluster': 1, 'distance': 48, 'percentage match': 0.25}",,0.49376153962742503
30,"{'k-cluster': 4, 'distance': 30, 'percentage match': 0.53125}",,0.49376153962742503
31,"{'k-cluster': 3, 'distance': 34, 'percentage match': 0.46875}",,0.49376153962742503
32,"{'k-cluster': 3, 'distance': 44, 'percentage match': 0.3125}",,0.49376153962742503
33,"{'k-cluster': 4, 'distance': 25, 'percentage match': 0.609375}",,0.49376153962742503
34,"{'k-cluster': 1, 'distance': 38, 'percentage match': 0.40625}",,0.49376153962742503
35,"{'k-cluster': 2, 'distance': 20, 'percentage match': 0.6875}",,0.49376153962742503
36,"{'k-cluster': 4, 'distance': 30, 'percentage match': 0.53125}",,0.49376153962742503
37,"{'k-cluster': 0, 'distance': 21, 'percentage match': 0.671875}",,0.49376153962742503
38,"{'k-cluster': 0, 'distance': 23, 'percentage match': 0.640625}",,0.49376153962742503
39,"{'k-cluster': 0, 'distance': 28, 'percentage match': 0.5625}",,0.49376153962742503
40,"{'k-cluster': 4, 'distance': 35, 'percentage match': 0.453125}",,0.49376153962742503
41,"{'k-cluster': 0, 'distance': 19, 'percentage match': 0.703125}",,0.49376153962742503
42,"{'k-cluster': 0, 'distance': 35, 'percentage match': 0.453125}",,0.49376153962742503
43,"{'k-cluster': 4, 'distance': 33, 'percentage match': 0.484375}",,0.49376153962742503
44,"{'k-cluster': 0, 'distance': 30, 'percentage match': 0.53125}",,0.49376153962742503
45,"{'k-cluster': 0, 'distance': 18, 'percentage match': 0.71875}",,0.49376153962742503
46,"{'k-cluster': 3, 'distance': 22, 'percentage match': 0.65625}",,0.49376153962742503
47,"{'k-cluster': 3, 'distance': 40, 'percentage match': 0.375}",,0.49376153962742503
48,"{'k-cluster': 4, 'distance': 27, 'percentage match': 0.578125}",,0.49376153962742503
49,"{'k-cluster': 2, 'distance': 37, 'percentage match': 0.421875}",,0.49376153962742503
50,"{'k-cluster': 0, 'distance': 26, 'percentage match': 0.59375}",,0.49376153962742503
51,"{'k-cluster': 3, 'distance': 23, 'percentage match': 0.640625}",,0.49376153962742503
52,"{'k-cluster': 5, 'distance': 14, 'percentage match': 0.78125}",,0.49376153962742503
53,"{'k-cluster': 3, 'distance': 32, 'percentage match': 0.5}",,0.49376153962742503
54,"{'k-cluster': 1, 'distance': 33, 'percentage match': 0.484375}",,0.49376153962742503
55,"{'k-cluster': 3, 'distance': 27, 'percentage match': 0.578125}",,0.49376153962742503
56,"{'k-cluster': 1, 'distance': 37, 'percentage match': 0.421875}",,0.49376153962742503
57,"{'k-cluster': 0, 'distance': 40, 'percentage match': 0.375}",,0.49376153962742503
58,"{'k-cluster': 3, 'distance': 32, 'percentage match': 0.5}",,0.49376153962742503
59,"{'k-cluster': 2, 'distance': 46, 'percentage match': 0.28125}",,0.49376153962742503
60,"{'k-cluster': 2, 'distance': 27, 'percentage match': 0.578125}",,0.49376153962742503
61,"{'k-cluster': 4, 'distance': 41, 'percentage match': 0.359375}",,0.49376153962742503
62,"{'k-cluster': 3, 'distance': 50, 'percentage match': 0.21875}",,0.49376153962742503
63,"{'k-cluster': 0, 'distance': 22, 'percentage match': 0.65625}",,0.49376153962742503
64,"{'k-cluster': 3, 'distance': 26, 'percentage match': 0.59375}",,0.49376153962742503
65,"{'k-cluster': 0, 'distance': 26, 'percentage match': 0.59375}",,0.49376153962742503
66,"{'k-cluster': 0, 'distance': 17, 'percentage match': 0.734375}",,0.49376153962742503
67,"{'k-cluster': 2, 'distance': 33, 'percentage match': 0.484375}",,0.49376153962742503
68,"{'k-cluster': 0, 'distance': 15, 'percentage match': 0.765625}",,0.49376153962742503
69,"{'k-cluster': 2, 'distance': 23, 'percentage match': 0.640625}",,0.49376153962742503
70,"{'k-cluster': 3, 'distance': 38, 'percentage match': 0.40625}",,0.49376153962742503
71,"{'k-cluster': 0, 'distance': 35, 'percentage match': 0.453125}",,0.49376153962742503
72,"{'k-cluster': 3, 'distance': 28, 'percentage match': 0.5625}",,0.49376153962742503
73,"{'k-cluster': 0, 'distance': 16, 'percentage match': 0.75}",,0.49376153962742503
74,"{'k-cluster': 0, 'distance': 13, 'percentage match': 0.796875}",,0.49376153962742503
75,"{'k-cluster': 1, 'distance': 25, 'percentage match': 0.609375}",,0.49376153962742503
76,"{'k-cluster': 3, 'distance': 31, 'percentage match': 0.515625}",,0.49376153962742503
77,"{'k-cluster': 5, 'distance': 41, 'percentage match': 0.359375}",,0.49376153962742503
78,"{'k-cluster': 2, 'distance': 36, 'percentage match': 0.4375}",,0.49376153962742503
79,"{'k-cluster': 4, 'distance': 44, 'percentage match': 0.3125}",,0.49376153962742503
80,"{'k-cluster': 4, 'distance': 29, 'percentage match': 0.546875}",,0.49376153962742503
81,"{'k-cluster': 1, 'distance': 37, 'percentage match': 0.421875}",,0.49376153962742503
82,"{'k-cluster': 3, 'distance': 24, 'percentage match': 0.625}",,0.49376153962742503
83,"{'k-cluster': 0, 'distance': 35, 'percentage match': 0.453125}",,0.49376153962742503
84,"{'k-cluster': 5, 'distance': 38, 'percentage match': 0.40625}",,0.49376153962742503
85,"{'k-cluster': 0, 'distance': 12, 'percentage match': 0.8125}",,0.49376153962742503
86,"{'k-cluster': 3, 'distance': 31, 'percentage match': 0.515625}",,0.49376153962742503
87,"{'k-cluster': 0, 'distance': 23, 'percentage match': 0.640625}",,0.49376153962742503
88,"{'k-cluster': 0, 'distance': 27, 'percentage match': 0.578125}",,0.49376153962742503
89,"{'k-cluster': 4, 'distance': 43, 'percentage match': 0.328125}",,0.49376153962742503
90,"{'k-cluster': 1, 'distance': 32, 'percentage match': 0.5}",,0.49376153962742503
91,"{'k-cluster': 2, 'distance': 35, 'percentage match': 0.453125}",,0.49376153962742503
92,"{'k-cluster': 3, 'distance': 34, 'percentage match': 0.46875}",,0.49376153962742503
93,"{'k-cluster': 3, 'distance': 36, 'percentage match': 0.4375}",,0.49376153962742503
94,"{'k-cluster': 1, 'distance': 35, 'percentage match': 0.453125}",,0.49376153962742503
95,"{'k-cluster': 0, 'distance': 24, 'percentage match': 0.625}",,0.49376153962742503
96,"{'k-cluster': 3, 'distance': 29, 'percentage match': 0.546875}",,0.49376153962742503
97,"{'k-cluster': 0, 'distance': 31, 'percentage match': 0.515625}",,0.49376153962742503
98,"{'k-cluster': 2, 'distance': 44, 'percentage match': 0.3125}",,0.49376153962742503
99,"{'k-cluster': 0, 'distance': 22, 'percentage match': 0.65625}",,0.49376153962742503
100,"{'k-cluster': 4, 'distance': 45, 'percentage match': 0.296875}",,0.49376153962742503
101,"{'k-cluster': 0, 'distance': 22, 'percentage match': 0.65625}",,0.49376153962742503
102,"{'k-cluster': 0, 'distance': 22, 'percentage match': 0.65625}",,0.49376153962742503
103,"{'k-cluster': 1, 'distance': 41, 'percentage match': 0.359375}",,0.49376153962742503
104,"{'k-cluster': 0, 'distance': 53, 'percentage match': 0.171875}",,0.49376153962742503
105,"{'k-cluster': 3, 'distance': 28, 'percentage match': 0.5625}",,0.49376153962742503
106,"{'k-cluster': 0, 'distance': 30, 'percentage match': 0.53125}",,0.49376153962742503
107,"{'k-cluster': 2, 'distance': 37, 'percentage match': 0.421875}",,0.49376153962742503
108,"{'k-cluster': 4, 'distance': 33, 'percentage match': 0.484375}",,0.49376153962742503
109,"{'k-cluster': 0, 'distance': 39, 'percentage match': 0.390625}",,0.49376153962742503
110,"{'k-cluster': 0, 'distance': 23, 'percentage match': 0.640625}",,0.49376153962742503
111,"{'k-cluster': 3, 'distance': 37, 'percentage match': 0.421875}",,0.49376153962742503
112,"{'k-cluster': 3, 'distance': 33, 'percentage match': 0.484375}",,0.49376153962742503
113,"{'k-cluster': 3, 'distance': 18, 'percentage match': 0.71875}",,0.49376153962742503
114,"{'k-cluster': 0, 'distance': 11, 'percentage match': 0.828125}",,0.49376153962742503
115,"{'k-cluster': 0, 'distance': 40, 'percentage match': 0.375}",,0.49376153962742503
116,"{'k-cluster': 4, 'distance': 40, 'percentage match': 0.375}",,0.49376153962742503
117,"{'k-cluster': 3, 'distance': 31, 'percentage match': 0.515625}",,0.49376153962742503
118,"{'k-cluster': 0, 'distance': 22, 'percentage match': 0.65625}",,0.49376153962742503
119,"{'k-cluster': 3, 'distance': 38, 'percentage match': 0.40625}",,0.49376153962742503
120,"{'k-cluster': 1, 'distance': 32, 'percentage match': 0.5}",,0.49376153962742503
121,"{'k-cluster': 3, 'distance': 26, 'percentage match': 0.59375}",,0.49376153962742503
122,"{'k-cluster': 0, 'distance': 23, 'percentage match': 0.640625}",,0.49376153962742503
123,"{'k-cluster': 0, 'distance': 34, 'percentage match': 0.46875}",,0.49376153962742503
124,"{'k-cluster': 0, 'distance': 20, 'percentage match': 0.6875}",,0.49376153962742503
125,"{'k-cluster': 3, 'distance': 31, 'percentage match': 0.515625}",,0.49376153962742503
126,"{'k-cluster': 0, 'distance': 18, 'percentage match': 0.71875}",,0.49376153962742503
127,"{'k-cluster': 5, 'distance': 34, 'percentage match': 0.46875}",,0.49376153962742503
128,"{'k-cluster': 0, 'distance': 14, 'percentage match': 0.78125}",,0.49376153962742503
129,"{'k-cluster': 0, 'distance': 21, 'percentage match': 0.671875}",,0.49376153962742503
130,"{'k-cluster': 0, 'distance': 16, 'percentage match': 0.75}",,0.49376153962742503
131,"{'k-cluster': 3, 'distance': 36, 'percentage match': 0.4375}",,0.49376153962742503
132,"{'k-cluster': 4, 'distance': 37, 'percentage match': 0.421875}",,0.49376153962742503
133,"{'k-cluster': 0, 'distance': 15, 'percentage match': 0.765625}",,0.49376153962742503
134,"{'k-cluster': 3, 'distance': 29, 'percentage match': 0.546875}",,0.49376153962742503
135,"{'k-cluster': 1, 'distance': 30, 'percentage match': 0.53125}",,0.49376153962742503
136,"{'k-cluster': 0, 'distance': 19, 'percentage match': 0.703125}",,0.49376153962742503
137,"{'k-cluster': 0, 'distance': 21, 'percentage match': 0.671875}",,0.49376153962742503
138,"{'k-cluster': 3, 'distance': 35, 'percentage match': 0.453125}",,0.49376153962742503
139,"{'k-cluster': 0, 'distance': 50, 'percentage match': 0.21875}",,0.49376153962742503
0,,"{'# Participants': 54, 'Mean Matching': 0.6157407407407407}",0.49376153962742503
